"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.1551,0,0,0,0,0,0,0,0,0,0,0.1447,0.1483,0,0,0,0.2626,0
"E_EnerLev",0,0.1227,0,0.1166,0,0,0,0,0.1206,0.1126,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.1263,0.1269,0,0,0,0,0.1259,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1444,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0.1248,0.1283,0.1259,0,0,0,0,0,0.1324,0,0,0,0,0
"N_EmoVol",0.1383,0,0,0,0,0,0.1359,0,0,0,0.1365,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.3377,0,0.691,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0.1326,0,0,0,0.1275,0,0.1443,0,0.1452,0,0,0,0,0,0,0
