"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.2033,0,0,0,0,0,0,0,0,0,0,0,0,-0.2915,0,-0.2927,0,0
"E_EnerLev",0,-0.0567,0,0,0,0,0,0,0,0.3772,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.0704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.4151,0
"N_Depr",0,0,0,0,0.0907,0,0,0,0,0,0,0,0,0,0.3867,0,0,0
"N_Anxty",0,0,0,0,0,-0.0139,0,0,0,0,0,0,-0.3085,0,0,0,0,0
"N_EmoVol",0,0,0.3965,0,-0.3257,0,0.3378,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.0907,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.0436,0,0,0.3713,0,0,0,0,0,0
