"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.1335,0,0,0,0,0,0,0,0,0,0.3956,0,0,0,0,0,0,0
"E_EnerLev",-0.3361,0.0628,0,0,0,0,0,0,0,0,0,0.2702,0,0,0,0,0.4282,0
"A_Cmpn",0,0,0.1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.402,0,0,-0.3297,0,0,0,0,0.3788,0,-0.2593,0,0,0,0
"N_Depr",0,0,0,0,0.2811,0,0,0.3453,-0.4579,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0.382,-0.2248,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",-0.3814,0,0,0,0,0,0.0203,0,0,0,0,0,0,0.4198,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.2687,0,0,0,0,0,0,0,0,0,0.4129
"C_Rspnbl",0,0,0,0,0,0.3183,0,0,0.0991,0,0,0,0,0,0,0,0,0
