"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,0.3778,-0.1087,-0.143,-0.485,0.0202,0.0872,0.0693,-0.0367,-0.2852,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.3778,1,0.2122,-0.235,-0.0457,0.2776,0.1811,0.2847,0.0168,-0.2298,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.1087,0.2122,1,-0.7178,0.3694,-0.5464,-0.2924,-0.5012,0.4243,0.5407,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.143,-0.235,-0.7178,1,-0.1731,0.3187,0.4449,0.6451,-0.3578,-0.7301,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.485,-0.0457,0.3694,-0.1731,1,-0.3993,0.2255,-0.3569,0.7246,0.3378,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0202,0.2776,-0.5464,0.3187,-0.3993,1,0.5073,0.698,-0.5325,-0.4049,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.0872,0.1811,-0.2924,0.4449,0.2255,0.5073,1,0.5053,0.1653,-0.5171,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.0693,0.2847,-0.5012,0.6451,-0.3569,0.698,0.5053,1,-0.6051,-0.5192,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.0367,0.0168,0.4243,-0.3578,0.7246,-0.5325,0.1653,-0.6051,1,0.2845,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.2852,-0.2298,0.5407,-0.7301,0.3378,-0.4049,-0.5171,-0.5192,0.2845,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.9957,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.2231,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.1901,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5964,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1337,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012
