"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.0981,0,0,0,0,0,0,0,0,0,0,0.102,0,0.103,0,0.1958,0.0975,0
"E_EnerLev",0,0.0831,0,0,0,0,0,0,0,0.0836,0,0,0,0,0,0,0,0.083
"A_Cmpn",0,0,0.1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.0985,0,0.0967,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1033,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1014,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1248,0,0,0.2789,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1056,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.0815,0,0,0,0.082,0,0.0822,0,0.0808,0
