"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9854,0.565,0.2582,-0.3098,0.0261,-0.2688,-0.1667,0.1044,0.2815,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.565,1,0.3691,-0.1233,-0.0101,0.0547,-0.2135,-0.0524,0.0691,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.2582,0.3691,0.9799,-0.0261,-0.152,-0.0016,-0.0069,-0.1743,0.0464,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.3098,-0.1233,-0.0261,0.9988,-0.0133,-0.014,0.1631,-0.0907,-0.0267,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0261,-0.0101,-0.152,-0.0133,0.9723,-0.1227,0.0461,0.1499,-0.0348,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2688,0.0547,-0.0016,-0.014,-0.1227,0.9385,0.1466,-0.1524,-0.1237,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1667,-0.2135,-0.0069,0.1631,0.0461,0.1466,0.9216,0.0482,-0.0899,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1044,-0.0524,-0.1743,-0.0907,0.1499,-0.1524,0.0482,0.9849,0.2889,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2815,0.0691,0.0464,-0.0267,-0.0348,-0.1237,-0.0899,0.2889,0.9658,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.8201,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.5852,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.7537,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.7314,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8684,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8255,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7961,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7568,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7918
