"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,-0.2761,0,0,0,0,0,0,0,0.5147,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.0884,0,0,0,0,0,0,0,0.4441,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.0551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,-0.211,0,0,0,0,0,0,0,0,0,0,0,0,-0.3487
"N_Anxty",0,0,0,0,0,0.0814,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.0588,0,0,0,0,0,0,0.3762,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.0296,0,0,0,0,0,0,0,0,0,0.4855
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1755,0,0,0,0,0,0,0,0,0
