"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",-0.0743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3483,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,-0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.0505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4458,0,0,0.2593
"C_Org",0,0,0,-0.2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5366,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.0664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4632,0,0,0,0,0,0,0.3363,0,0
"C_Rspnbl",0,0,0,0,0,-0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,-0.269,0,0,0,-0.0497,0,0,0,0,0,0,0,0,0,0,0,0,0.458,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.0582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3901,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,-0.0466,0,0,0,0,0,0,0.4058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,-0.0625,0,0,0,0,0,0,0,0,0,0,-0.4439,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.0453,0,0,0,0,0,0,0,0,0,0,0,-0.3413,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,-0.2612,0,0,0,0.3595,0,0,0.5341,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,-0.0507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0348,0,0,0,0,0.3399,0,0,0,0,0,0,0,0,0,0,0.5276
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
