"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.5253,0.223,-0.0058,-0.1735,-0.4784,-0.1202,0.1604,0.2643,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5253,1,0.0196,0.1409,-0.4975,-0.5853,-0.3796,0.4668,0.5905,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.223,0.0196,1,-0.0213,0.0222,0.2398,0.0968,0.2883,0.2478,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.0058,0.1409,-0.0213,1,-0.0579,-0.0528,0.2046,0.3388,4e-04,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1735,-0.4975,0.0222,-0.0579,1,0.4131,0.1383,-0.0656,-0.4233,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.4784,-0.5853,0.2398,-0.0528,0.4131,1,0.1556,-0.1198,-0.3803,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1202,-0.3796,0.0968,0.2046,0.1383,0.1556,1,-0.1816,-0.1291,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1604,0.4668,0.2883,0.3388,-0.0656,-0.1198,-0.1816,1,0.4197,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2643,0.5905,0.2478,4e-04,-0.4233,-0.3803,-0.1291,0.4197,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.3795,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,1.8697,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.6818,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.854,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6085,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3898,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8934,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8203,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5158
